Post Date,Description,Amount,business justification,Total
10/26/2024,SQSP* INV155179797 New York NY,12,Web hosting / domain expense (deductible),6609.62
10/27/2024,MyTrip Miami FL,995.65,Business travel / lodging expense (deductible),
11/03/2024,"Cursor, AI Powered IDE New York NY",20,Business software / AI tools subscription (deductible),
11/09/2024,SQSP* INV157018427 New York NY,12,Web hosting / domain expense (deductible),
11/23/2024,Envato UT,26,Business services / marketplace tools (deductible),
11/26/2024,ZOHO* Zoho-Workplace Pleasanton CA,10.59,Business software / AI tools subscription (deductible),
12/03/2024,"Cursor, AI Powered IDE New York NY",20,Business software / AI tools subscription (deductible),
12/07/2024,LinkedIn SN Mountain View CA,99.99,Professional tools / networking (deductible),
12/11/2024,WEB*Networksolutions Jacksonville FL,5.18,Web hosting / domain expense (deductible),
12/27/2024,Shalizar Restaurant Belmont CA,331.92,Team meals / client meeting refreshments (deductible if business related),
01/08/2025,OpenAI San Francisco CA,5,Business software / AI tools subscription (deductible),
01/09/2025,WEB*Networksolutions Jacksonville FL,2.5,Web hosting / domain expense (deductible),
01/16/2025,OpenAI San Francisco CA,5,Business software / AI tools subscription (deductible),
01/18/2025,OpenAI*ChatGPT Subscr San Francisco CA,20,Business software / AI tools subscription (deductible),
01/20/2025,Eclair Bakery New York NY,15.45,Team meals / client meeting refreshments (deductible if business related),
01/22/2025,Trader Joe’s #571 New York NY,7.61,Team meals / client meeting refreshments (deductible if business related),
01/23/2025,Motto New York City NY Hotel,374.94,Business travel / lodging expense (deductible),
01/30/2025,Hotel at Booking.com Amsterdam NL,366.34,Business travel / lodging expense (deductible),
02/03/2025,"Cursor, AI Powered IDE New York NY",20,Business software / AI tools subscription (deductible),
02/05/2025,WEB*Networksolutions Jacksonville FL,2.5,Web hosting / domain expense (deductible),
02/10/2025,Agoda.com First Cent Internet DF,450.2,Business travel / lodging expense (deductible),
02/11/2025,SQSP INV169204517 New York NY,12,Web hosting / domain expense (deductible),
02/13/2025,Agoda.com First Cent Internet DF,274.07,Business travel / lodging expense (deductible),
02/18/2025,OpenAI*ChatGPT Subscr San Francisco CA,20,Business software / AI tools subscription (deductible),
02/26/2025,USPS PO 3596140014 New York NY,53.59,Business mailing / regulatory fees (deductible),
02/26/2025,MTA*NYCT Paygo New York NY,2.9,Business transportation (deductible),
02/27/2025,USPS PO 3596140014 New York NY,26.3,Business mailing / regulatory fees (deductible),
02/27/2025,Trader Joe’s #571 New York NY,4.64,Team meals / client meeting refreshments (deductible if business related),
03/02/2025,Fooda CNP Chicago IL,0.65,Team meals / client meeting refreshments (deductible if business related),
03/05/2025,WEB*Networksolutions Jacksonville FL,2.5,Web hosting / domain expense (deductible),
